Date,Open,High,Low,Close,Adj Close,Volume,Change %
10/04/2022,1730.50,1708.40,1738.70,1704.00,1704.00,0,1.19%
10/03/2022,1710.20,1671.45,1711.50,1667.35,1667.35,0,2.28%
09/30/2022,1664.65,1675.35,1659.33,1660.98,1660.98,0,0.04%
09/29/2022,1659.88,1665.12,1641.05,1660.29,1660.29,0,0.05%
09/28/2022,1629.26,1663.17,1614.35,1659.44,1659.44,0,1.88%
09/27/2022,1621.99,1642.94,1621.77,1628.80,1628.80,0,0.45%
09/26/2022,1645.40,1650.02,1620.80,1621.57,1621.57,0,-1.31%
09/23/2022,1671.55,1676.59,1639.59,1643.09,1643.09,0,-1.64%
09/22/2022,1675.06,1685.49,1655.53,1670.53,1670.53,0,-0.19%
09/21/2022,1663.67,1688.15,1654.15,1673.74,1673.74,0,0.64%
09/20/2022,1675.47,1679.34,1659.60,1663.11,1663.11,0,-0.76%
09/19/2022,1675.44,1680.16,1659.67,1675.78,1675.78,0,0.05%
09/16/2022,1664.27,1680.69,1653.85,1674.94,1674.94,0,0.67%
09/15/2022,1696.06,1698.62,1660.04,1663.74,1663.74,0,-1.89%
09/14/2022,1701.86,1707.49,1693.26,1695.80,1695.80,0,-0.34%
09/13/2022,1724.75,1732.34,1696.70,1701.55,1701.55,0,-1.31%
09/12/2022,1717.05,1735.37,1711.97,1724.07,1724.07,0,0.47%
09/09/2022,1708.84,1729.94,1708.22,1716.05,1716.05,0,0.51%
09/08/2022,1718.40,1728.80,1703.50,1707.28,1707.28,0,-0.61%
09/07/2022,1701.61,1719.82,1690.90,1717.69,1717.69,0,0.97%
09/06/2022,1710.56,1727.24,1699.30,1701.15,1701.15,0,-0.53%
09/05/2022,1712.99,1716.34,1707.47,1710.21,1710.21,0,-0.07%
09/02/2022,1696.35,1718.31,1694.64,1711.44,1711.44,0,0.91%
09/01/2022,1711.09,1711.81,1688.35,1696.09,1696.09,0,-0.85%
08/31/2022,1723.83,1726.86,1709.10,1710.70,1710.70,0,-0.75%
08/30/2022,1738.36,1740.93,1720.85,1723.55,1723.55,0,-0.82%
08/29/2022,1736.19,1745.63,1720.08,1737.82,1737.82,0,0.06%
08/26/2022,1758.55,1759.31,1733.83,1736.86,1736.86,0,-1.23%
08/25/2022,1751.55,1765.93,1749.71,1758.44,1758.44,0,0.43%
08/24/2022,1748.55,1755.88,1742.29,1750.89,1750.89,0,0.18%
08/23/2022,1736.40,1754.28,1730.52,1747.67,1747.67,0,0.69%
08/22/2022,1747.05,1749.31,1727.51,1735.70,1735.70,0,-0.69%
08/19/2022,1759.30,1759.88,1745.19,1747.83,1747.83,0,-0.59%
08/18/2022,1761.63,1772.59,1755.37,1758.20,1758.20,0,-0.16%
08/17/2022,1775.98,1782.63,1759.58,1761.05,1761.05,0,-0.82%
08/16/2022,1779.74,1783.37,1771.33,1775.54,1775.54,0,-0.21%
08/15/2022,1802.05,1802.53,1772.75,1779.36,1779.36,0,-1.24%
08/12/2022,1790.06,1802.86,1784.52,1801.76,1801.76,0,0.69%
08/11/2022,1792.39,1799.40,1783.24,1789.45,1789.45,0,-0.15%
08/10/2022,1794.21,1807.90,1787.32,1792.13,1792.13,0,-0.11%
08/09/2022,1789.21,1800.45,1782.85,1794.08,1794.08,0,0.31%
08/08/2022,1773.57,1790.26,1770.94,1788.52,1788.52,0,0.81%
08/05/2022,1791.16,1795.29,1764.88,1774.15,1774.15,0,-0.94%
08/04/2022,1765.34,1795.29,1763.00,1790.97,1790.97,0,1.48%
08/03/2022,1760.53,1772.90,1754.33,1764.90,1764.90,0,0.29%
08/02/2022,1772.23,1788.24,1759.86,1759.75,1759.75,0,-0.68%
08/01/2022,1765.05,1775.22,1758.05,1771.73,1771.73,0,0.37%
07/29/2022,1755.81,1768.17,1752.19,1765.22,1765.22,0,0.58%
07/28/2022,1734.61,1757.43,1733.59,1755.11,1755.11,0,1.22%
07/27/2022,1717.41,1740.60,1711.46,1733.89,1733.89,0,0.98%
07/26/2022,1719.69,1728.36,1713.20,1717.00,1717.00,0,-0.10%
07/25/2022,1728.15,1736.43,1714.57,1718.78,1718.78,0,-0.44%
07/22/2022,1718.61,1739.28,1712.93,1726.46,1726.46,0,0.46%
07/21/2022,1696.73,1720.69,1680.78,1718.49,1718.49,0,1.30%
07/20/2022,1711.30,1714.94,1692.53,1696.43,1696.43,0,-0.86%
07/19/2022,1709.27,1718.64,1704.96,1711.07,1711.07,0,0.12%
